"ID","Name","coord","link","lon","lat","js"
73,"Hoellentalangerhuette, Sektion Muenchen","N47°26'17'',E11°1'29''","https://www.alpsonline.org/reservation/calendar?hut_id=73",11.0251746,47.4379503,"['Hoellentalangerhuette, Sektion Muenchen',11.0251746,47.4379503],"
74,"Cabane du Petit Mountet","615056/104542;N46.09224/E7.63336","https://www.alpsonline.org/reservation/calendar?hut_id=74",7.6333134,46.0922824,"['Cabane du Petit Mountet',7.6333134,46.0922824],"
75,"Schesaplana Huette, SAC Pfannenstiel","770.590/212.770","https://www.alpsonline.org/reservation/calendar?hut_id=75",9.6836949,47.0440718,"['Schesaplana Huette, SAC Pfannenstiel',9.6836949,47.0440718],"
76,"Refuge des Petoudes, CAS Diablerets","Coordonnées:
566.860/96.570","https://www.alpsonline.org/reservation/calendar?hut_id=76",7.0111632,46.0200699,"['Refuge des Petoudes, CAS Diablerets',7.0111632,46.0200699],"
77,"Moenchsjochhuette, Genossenschaft Moenchsjochhuette","643.500/156.100","https://www.alpsonline.org/reservation/calendar?hut_id=77",8.0057314,46.55474,"['Moenchsjochhuette, Genossenschaft Moenchsjochhuette',8.0057314,46.55474],"
78,"Chamonna Lischana CAS, CAS Engiadina Bassa","821160/183460","https://www.alpsonline.org/reservation/calendar?hut_id=78",10.3345232,46.7655628,"['Chamonna Lischana CAS, CAS Engiadina Bassa',10.3345232,46.7655628],"
79,"Klostertaler Umwelthuette, DAV Bundesverband","5192513/581238","https://www.alpsonline.org/reservation/calendar?hut_id=79",NA,NA,"['Klostertaler Umwelthuette, DAV Bundesverband',NA,NA],"
80,"Silvrettahuette SAC, SAC St.Gallen","798460/192540","https://www.alpsonline.org/reservation/calendar?hut_id=80",10.0414342,46.8545346,"['Silvrettahuette SAC, SAC St.Gallen',10.0414342,46.8545346],"
81,"Blaueishuette, Sektion Berchtesgaden","N47°35.221`O12°52.168`","https://www.alpsonline.org/reservation/calendar?hut_id=81",12.975706,47.622179,"['Blaueishuette, Sektion Berchtesgaden',12.975706,47.622179],"
82,"Hallerangerhaus, Sektion Schwaben","N5.247.560UTMO32.687.070","https://www.alpsonline.org/reservation/calendar?hut_id=82",11.477182,47.3547403,"['Hallerangerhaus, Sektion Schwaben',11.477182,47.3547403],"
