start,end,note,sheet
"2025-02-02 16:18:11","2025-02-02 16:56:05","44._GP_Osterhas_2025_[316629]","RR"
"2025-02-02 17:00:00","2025-02-02 18:21:02","Code","RR"
"2025-02-02 19:00:00","2025-02-02 19:21:11","44._GP_Osterhas_2025_[316629]","RR"
"2025-02-03 09:54:51","2025-02-03 10:22:04","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-03 10:22:00","2025-02-03 10:57:02","44._GP_Osterhas_2025_[316629]","RR"
"2025-02-04 08:15:00","2025-02-04 10:03:11","44._GP_Osterhas_2025_[316629]","RR"
"2025-02-04 15:47:31","2025-02-04 17:30:43","44._GP_Osterhas_2025_[316629]","RR"
"2025-02-04 17:52:04","2025-02-04 19:39:05","44._GP_Osterhas_2025_[316629]","RR"
"2025-02-04 20:20:35","2025-02-04 23:22:14","44._GP_Osterhas_2025_[316629]","RR"
"2025-02-06 10:20:00","2025-02-06 12:40:00","LED","RR"
"2025-02-06 13:18:52","2025-02-06 13:26:55","Maintenance","RR"
"2025-02-06 13:30:27","2025-02-06 14:03:34","other","RR"
"2025-02-06 15:44:51","2025-02-06 15:50:42","LED","RR"
"2025-02-06 15:50:45","2025-02-06 17:31:58","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-07 09:54:19","2025-02-07 10:52:49","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-07 11:22:26","2025-02-07 12:57:18","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-07 14:55:19","2025-02-07 16:31:23","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-07 16:59:13","2025-02-07 17:11:56","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-07 17:20:00","2025-02-07 18:22:39","LED","RR"
"2025-02-08 10:45:00","2025-02-08 11:01:54","LED","RR"
"2025-02-08 11:01:57","2025-02-08 12:46:56","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-11 10:05:00","2025-02-11 10:22:23","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-02-16 09:15:48","2025-02-16 10:00:00","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-02-20 14:00:00","2025-02-20 15:46:29","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-20 18:32:17","2025-02-20 18:36:46","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-20 18:39:02","2025-02-20 19:35:33","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-20 19:42:43","2025-02-20 20:05:50","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-21 09:45:00","2025-02-21 12:37:52","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-21 15:49:18","2025-02-21 17:53:21","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-22 16:30:00","2025-02-22 17:32:55","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-24 08:20:00","2025-02-24 17:30:00","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-25 08:30:00","2025-02-25 09:00:12","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-02-25 09:00:25","2025-02-25 09:35:33","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-25 09:35:38","2025-02-25 10:01:26","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-02-25 13:35:00","2025-02-25 17:48:37","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-25 17:48:43","2025-02-25 19:15:50","other","RR"
"2025-02-25 19:16:06","2025-02-25 19:55:56","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-02-25 21:54:00","2025-02-25 22:40:50","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-26 09:00:00","2025-02-26 09:38:14","other","RR"
"2025-02-26 09:38:24","2025-02-26 10:14:09","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-26 10:14:13","2025-02-26 10:57:42","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-02-26 12:24:19","2025-02-26 12:43:56","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-02-26 17:00:00","2025-02-26 18:38:33","LED","RR"
"2025-02-26 19:00:00","2025-02-26 20:07:15","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-02-27 08:52:58","2025-02-27 09:18:52","other","RR"
"2025-02-27 11:00:00","2025-02-27 13:15:14","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-27 14:20:44","2025-02-27 17:44:21","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-02-27 17:51:18","2025-02-27 20:15:31","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-02-27 21:27:55","2025-02-27 23:14:41","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-02-28 10:18:42","2025-02-28 10:38:38","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-02-28 14:43:40","2025-02-28 16:06:06","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-28 16:06:09","2025-02-28 17:28:42","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-01 10:45:00","2025-03-01 12:23:33","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-03-01 13:26:06","2025-03-01 13:56:36","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-03-01 14:00:13","2025-03-01 14:15:10","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-03-03 09:00:00","2025-03-03 11:47:43","LED","RR"
"2025-03-03 11:00:00","2025-03-03 12:51:42","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-03-03 12:58:15","2025-03-03 14:34:06","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-03-03 14:34:09","2025-03-03 18:30:00","LED","RR"
"2025-03-03 21:21:27","2025-03-03 22:55:38","LED","RR"
"2025-03-04 09:10:00","2025-03-04 10:10:16","16.Bischofszeller_Staedtlilauf_[315717]","RR"
"2025-03-04 11:33:15","2025-03-04 12:00:00","16.Bischofszeller_Staedtlilauf_[315717]","RR"
"2025-03-04 12:00:00","2025-03-04 13:40:34","44._GP_Osterhas_2025_[316629]","RR"
"2025-03-04 14:40:00","2025-03-04 16:36:08","44._GP_Osterhas_2025_[316629]","RR"
"2025-03-04 16:36:27","2025-03-04 16:46:22","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-03-04 16:46:30","2025-03-04 17:53:24","44._GP_Osterhas_2025_[316629]","RR"
"2025-03-04 20:25:52","2025-03-04 23:20:29","Code","RR"
"2025-03-05 07:00:00","2025-03-05 08:27:54","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-05 09:05:00","2025-03-05 11:12:33","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-05 11:12:36","2025-03-05 11:58:42","44._GP_Osterhas_2025_[316629]","RR"
"2025-03-05 11:58:50","2025-03-05 12:37:30","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-05 17:00:00","2025-03-05 18:09:39","LED","RR"
"2025-03-05 18:36:07","2025-03-05 18:43:56","LED","RR"
"2025-03-05 18:43:59","2025-03-05 19:13:14","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-06 08:23:09","2025-03-06 09:30:10","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-03-06 09:30:13","2025-03-06 11:00:00","other","RR"
"2025-03-06 11:00:00","2025-03-06 11:59:46","LED","RR"
"2025-03-06 11:59:54","2025-03-06 12:33:23","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-06 12:33:26","2025-03-06 13:46:07","LED","RR"
"2025-03-06 14:15:28","2025-03-06 15:48:24","LED","RR"
"2025-03-06 15:48:27","2025-03-06 16:57:16","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-06 16:59:07","2025-03-06 17:35:06","Cyclotour_du_Leman_[330037]","RR"
"2025-03-07 06:00:00","2025-03-07 18:00:00","Fishermans_Sliding_Challenge_Winteredition_[323059] EVENT","RR"
"2025-03-08 07:00:00","2025-03-08 22:00:00","Fishermans_Sliding_Challenge_Winteredition_[323059] EVENT","RR"
"2025-03-09 10:00:00","2025-03-09 11:00:00","other","RR"
"2025-03-10 08:04:10","2025-03-10 08:20:19","Cyclotour_du_Leman_[330037]","RR"
"2025-03-10 08:20:22","2025-03-10 08:38:48","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-10 09:00:00","2025-03-10 12:11:51","Maintenance","RR"
"2025-03-10 12:12:06","2025-03-10 12:41:59","Maintenance","RR"
"2025-03-10 19:54:10","2025-03-10 20:55:10","44._GP_Osterhas_2025_[316629]","RR"
"2025-03-10 20:55:12","2025-03-10 21:57:24","LED","RR"
"2025-03-10 21:57:25","2025-03-10 23:46:34","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-11 08:13:15","2025-03-11 08:28:54","LED","RR"
"2025-03-11 08:28:58","2025-03-11 09:28:04","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-11 09:28:06","2025-03-11 11:00:00","LED","RR"
"2025-03-11 11:00:00","2025-03-11 11:57:01","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-11 19:15:00","2025-03-11 19:48:05","LED","RR"
"2025-03-11 19:48:14","2025-03-11 20:11:51","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-11 20:11:56","2025-03-11 21:34:14","Cyclotour_du_Leman_[330037]","RR"
"2025-03-11 21:34:18","2025-03-11 23:34:48","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-12 09:08:09","2025-03-12 09:15:00","16.Bischofszeller_Staedtlilauf_[315717]","RR"
"2025-03-12 09:15:00","2025-03-12 11:43:30","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-12 11:43:37","2025-03-12 13:06:31","Cyclotour_du_Leman_[330037]","RR"
"2025-03-12 14:00:00","2025-03-12 15:00:00","Cyclotour_du_Leman_[330037]","RR"
"2025-03-12 15:00:00","2025-03-12 16:00:00","other","RR"
"2025-03-12 16:00:00","2025-03-12 16:44:22","LED","RR"
"2025-03-12 16:44:27","2025-03-12 19:00:04","Maintenance","RR"
"2025-03-13 09:30:00","2025-03-13 11:24:44","Cyclotour_du_Leman_[330037]","RR"
"2025-03-13 13:50:00","2025-03-13 14:49:41","Cyclotour_du_Leman_[330037]","RR"
"2025-03-13 14:49:45","2025-03-13 16:16:34","44._GP_Osterhas_2025_[316629]","RR"
"2025-03-13 16:16:49","2025-03-13 18:40:37","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-13 21:49:43","2025-03-13 22:39:32","Cyclotour_du_Leman_[330037]","RR"
"2025-03-14 09:18:38","2025-03-14 12:46:45","other","RR"
"2025-03-14 15:00:42","2025-03-14 17:53:13","other","RR"
"2025-03-16 20:49:20","2025-03-17 00:27:04","other","RR"
"2025-03-17 10:50:35","2025-03-17 14:36:10","other","RR"
"2025-03-17 14:37:21","2025-03-17 14:54:38","other","RR"
"2025-03-17 14:54:42","2025-03-17 16:06:21","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-17 16:06:43","2025-03-17 17:07:54","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-17 17:56:13","2025-03-17 20:12:35","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-18 11:23:39","2025-03-18 11:39:03","other","RR"
"2025-03-18 14:18:12","2025-03-18 14:22:08","Cyclotour_du_Leman_[330037]","RR"
"2025-03-18 14:22:10","2025-03-18 16:33:41","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
